#CODE      ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,x,;;;;
W_L_1231063;https://en.wikipedia.org/wiki/Rukn_al-Dawla;http://en.wikipedia.org/wiki/Rukn_al-Dawla;;
W_L_1231064;https://en.wikipedia.org/wiki/Mu%27izz_al-Dawla;http://en.wikipedia.org/wiki/Mu%27izz_al-Dawla;;
W_L_1231065;https://en.wikipedia.org/wiki/%27Adud_al-Dawla;http://en.wikipedia.org/wiki/%27Adud_al-Dawla;;
W_L_1231070;https://en.wikipedia.org/wiki/Samsam_al-Dawla;http://en.wikipedia.org/wiki/Samsam_al-Dawla;;
W_L_1231071;https://en.wikipedia.org/wiki/Sharaf_al-Dawla;http://en.wikipedia.org/wiki/Sharaf_al-Dawla;;
W_L_1231072;https://en.wikipedia.org/wiki/Baha%27_al-Dawla;http://en.wikipedia.org/wiki/Baha%27_al-Dawla;;
W_L_1231073;https://en.wikipedia.org/wiki/Sultan_al-Dawla;http://en.wikipedia.org/wiki/Sultan_al-Dawla;;
W_L_1231074;https://en.wikipedia.org/wiki/Jalal_al-Dawla;http://en.wikipedia.org/wiki/Jalal_al-Dawla;;
W_L_1231078;https://en.wikipedia.org/wiki/Abu_Kalijar;http://en.wikipedia.org/wiki/Abu_Kalijar;;
W_L_1231079;https://en.wikipedia.org/wiki/Al-Malik_al-Rahim;http://en.wikipedia.org/wiki/Al-Malik_al-Rahim;;
W_L_1231080;https://en.wikipedia.org/wiki/Abu_Mansur_Fulad_Sutun;http://en.wikipedia.org/wiki/Abu_Mansur_Fulad_Sutun;;
W_L_1231083;https://en.wikipedia.org/wiki/Abu_Sa%27d_Khusrau_Shah;http://en.wikipedia.org/wiki/Abu_Sa%27d_Khusrau_Shah;;
W_L_1231099;https://en.wikipedia.org/wiki/Abu_Ali_Fana-Khusrau;http://en.wikipedia.org/wiki/Abu_Ali_Fana-Khusrau;;
W_L_34017  ;https://en.wikipedia.org/wiki/Al-Muwaffaq;http://en.wikipedia.org/wiki/Al-Muwaffaq;;
W_L_163131 ;https://en.wikipedia.org/wiki/Bugha_al-Kabir;http://en.wikipedia.org/wiki/Bugha_al-Kabir;;
W_L_163132 ;https://en.wikipedia.org/wiki/Musa_ibn_Bugha_al-Kabir;http://en.wikipedia.org/wiki/Musa_ibn_Bugha_al-Kabir;;
W_L_1230248;https://en.wikipedia.org/wiki/Bugha_al-Sharabi;http://en.wikipedia.org/wiki/Bugha_al-Sharabi;;
W_L_1230768;https://en.wikipedia.org/wiki/Abi%27l-Saj_Devdad;http://en.wikipedia.org/wiki/Abi%27l-Saj_Devdad;;
W_L_1230590;https://en.wikipedia.org/wiki/Muhammad_ibn_Abi%27l-Saj;http://en.wikipedia.org/wiki/Muhammad_ibn_Abi%27l-Saj;;
W_L_1230591;https://en.wikipedia.org/wiki/Yusuf_ibn_Abi%27l-Saj;http://en.wikipedia.org/wiki/Yusuf_ibn_Abi%27l-Saj;;
W_L_1230364;https://en.wikipedia.org/wiki/Sahib_Husain_Mikali;http://en.wikipedia.org/wiki/Sahib_Husain_Mikali;;
W_L_1230365;https://en.wikipedia.org/wiki/Al-Kunduri;http://en.wikipedia.org/wiki/Al-Kunduri;;
W_L_73812  ;https://en.wikipedia.org/wiki/Musa_ibn_Musa_ibn_Qasi;http://en.wikipedia.org/wiki/Musa_ibn_Musa_ibn_Qasi;;
W_L_73815  ;https://en.wikipedia.org/wiki/Muhammad_ibn_Lubb;http://en.wikipedia.org/wiki/Muhammad_ibn_Lubb;;
W_L_1234931;https://en.wikipedia.org/wiki/Wasif_al-Turki;http://en.wikipedia.org/wiki/Wasif_al-Turki;;
W_L_1236289;https://en.wikipedia.org/wiki/Muhammad_ibn_Wasil;http://en.wikipedia.org/wiki/Muhammad_ibn_Wasil;;
W_L_1234936;https://en.wikipedia.org/wiki/Al-Fath_ibn_Khaqan;http://en.wikipedia.org/wiki/Al-Fath_ibn_Khaqan;;
W_L_1234937;https://en.wikipedia.org/wiki/Muzahim_ibn_Khaqan;http://en.wikipedia.org/wiki/Muzahim_ibn_Khaqan;;
W_L_1234938;https://en.wikipedia.org/wiki/Ahmad_ibn_Muzahim_ibn_Khaqan;http://en.wikipedia.org/wiki/Ahmad_ibn_Muzahim_ibn_Khaqan;;
W_L_1234939;https://en.wikipedia.org/wiki/Azjur_al-Turki;http://en.wikipedia.org/wiki/Azjur_al-Turki;;
W_L_1235925;https://en.wikipedia.org/wiki/Abu'l-Hasan_Ahmad_ibn_Muhammad_ibn_Abdallah_ibn_al-Mudabbir;http://en.wikipedia.org/wiki/Abu'l-Hasan_Ahmad_ibn_Muhammad_ibn_Abdallah_ibn_al-Mudabbir;;
W_L_1235926;https://en.wikipedia.org/wiki/Ibrahim_ibn_al-Mudabbir;http://en.wikipedia.org/wiki/Ibrahim_ibn_al-Mudabbir;;
W_L_1230509;https://en.wikipedia.org/wiki/Muhammad_ibn_Ishaq_ibn_Ibrahim;http://en.wikipedia.org/wiki/Muhammad_ibn_Ishaq_ibn_Ibrahim;;
